ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Палас Фелт (Россия) 1,2х2,5",,шт,"507,67", , ,"2,000", , ,"1,000", 
"Палас Фелт (Россия) 1,2х3,0",,шт,"601,20","1,000", , , , ,"1,000", 
"Палас Фелт (Россия) 1,2х5,0",,шт,"1 032,00", , , , ,"2,000", , 
"Палас Фелт (Россия) 1,3х2,5",,шт,"1 101,75","1,000", , , , , , 
"Палас Фелт (Россия) 1,3х5,0",,шт,"1 085,50", , , , ,"1,000", , 
"Палас Фелт (Россия) 1,4х2,0",,шт,"474,60","1,000", ,"1,000", , , , 
"Палас Фелт (Россия) 1,4х2,5",,шт,"581,00", , ,"3,000", , , , 
"Палас Фелт (Россия) 1,4х3,0",,шт,"701,40","1,000", , , , , , 
"Палас Фелт (Россия) 1,4х3,5",,шт,"808,50","1,000", , , , , , 
"Палас Фелт (Россия) 1,4х4,0",,шт,"927,73","1,000", , , , , , 
"Палас Фелт (Россия) 1,4х4,5",,шт,"1 039,50","1,000", , , , , , 
"Палас Фелт (Россия) 1,4х5,0",,шт,"1 169,00","3,000","1,000", , , , , 
"Палас Фелт (Россия) 1,5х1,5",,шт,"379,28","4,000", ,"2,000", ,"3,000","3,000", 
"Палас Фелт (Россия) 1,5х2,0",,шт,"508,42","4,000","8,000","14,000","6,000","1,000","4,000","6,000"
"Палас Фелт (Россия) 1,5х2,3",,шт,"588,57", ,"1,000","2,000","1,000", , ,"1,000"
"Палас Фелт (Россия) 1,5х2,5",,шт,"633,01","4,000","7,000","24,000","2,000","4,000","3,000","5,000"
"Палас Фелт (Россия) 1,5х2,7",,шт,"696,60", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,5х3,0",,шт,"772,69","6,000","5,000","23,000","7,000","1,000","12,000","7,000"
"Палас Фелт (Россия) 1,5х3,5",,шт,"884,68","3,000","5,000","33,000","6,000","11,000","11,000","8,000"
"Палас Фелт (Россия) 1,5х4,0",,шт,"1 012,88","2,000","6,000","23,000","7,000","12,000","9,000","7,000"
"Палас Фелт (Россия) 1,5х4,5",,шт,"1 126,75","7,000","7,000","14,000","4,000","8,000","12,000","9,000"
"Палас Фелт (Россия) 1,5х5,0",,шт,"1 250,99","1,000","3,000","4,000","5,000","7,000","4,000","6,000"
"Палас Фелт (Россия) 1,5х5,5",,шт,"1 362,40","3,000","1,000","3,000","3,000","2,000","6,000","7,000"
"Палас Фелт (Россия) 1,5х6,0",,шт,"1 488,00","2,000", , ,"1,000", , , 
"Палас Фелт (Россия) 1,6х1,5",,шт,"396,00","1,000", , , , , , 
"Палас Фелт (Россия) 1,6х2,0",,шт,"534,40","3,000", , , , , , 
"Палас Фелт (Россия) 1,6х2,5",,шт,"681,33","2,000", ,"6,000", , ,"1,000", 
"Палас Фелт (Россия) 1,6х3,0",,шт,"1 843,68","2,000", , , , , , 
"Палас Фелт (Россия) 1,6х3,5",,шт,"937,07", , ,"3,000", , , , 
"Палас Фелт (Россия) 1,6х4,0",,шт,"1 068,80","4,000","1,000", , ,"1,000", , 
"Палас Фелт (Россия) 1,6х4,3",,шт,"1 148,96", , , , , ,"1,000", 
"Палас Фелт (Россия) 1,6х4,5",,шт,"1 202,40", ,"1,000", , , , , 
"Палас Фелт (Россия) 1,7х2,0",,шт,"573,47","1,000", ,"1,000","1,000", , , 
"Палас Фелт (Россия) 1,7х2,5",,шт,"709,75", , ,"1,000", ,"1,000", , 
"Палас Фелт (Россия) 1,7х3,0",,шт,"858,08","2,000", ,"1,000", ,"1,000", , 
"Палас Фелт (Россия) 1,7х3,5",,шт, , , ,"2,000", , , , 
"Палас Фелт (Россия) 1,7х4,0",,шт,"1 135,60","2,000", , , , , , 
"Палас Фелт (Россия) 1,8х2,5",,шт,"751,50", , , , ,"1,000", , 
"Палас Фелт (Россия) 1,8х3,0",,шт,"901,80", , , , ,"1,000", , 
"Палас Фелт (Россия) 2,0х2,0",,шт,"693,47","5,000","3,000","16,000","4,000","6,000","3,000","2,000"
"Палас Фелт (Россия) 2,0х2,5",,шт,"845,75","3,000","5,000","15,000","3,000","4,000","4,000","2,000"
"Палас Фелт (Россия) 2,0х3,0",,шт,"1 027,02","1,000","13,000","47,000","4,000","9,000","16,000","12,000"
"Палас Фелт (Россия) 2,0х3,5",,шт,"1 185,90","2,000","9,000","32,000","2,000","14,000","5,000","7,000"
"Палас Фелт (Россия) 2,0х4,0",,шт,"1 356,17","3,000","10,000","40,000","3,000","12,000","11,000","8,000"
"Палас Фелт (Россия) 2,0х4,5",,шт,"1 518,87","4,000","5,000","24,000","2,000","10,000","8,000","6,000"
"Палас Фелт (Россия) 2,0х5,0",,шт,"1 685,58","3,000","6,000","14,000","7,000","3,000","5,000","5,000"
"Палас Фелт (Россия) 2,0х5,5",,шт,"1 809,56","4,000","2,000","7,000","1,000","3,000","5,000","6,000"
"Палас Фелт (Россия) 2,0х6,0",,шт,"2 004,00","4,000","2,000", ,"1,000","2,000","1,000", 
"Палас Фелт (Россия) 2,2х3,0",,шт,"1 135,20", ,"1,000", , ,"2,000", , 
"Палас Фелт (Россия) 2,2х3,5",,шт,"1 324,40", ,"1,000", , ,"2,000", , 
"Палас Фелт (Россия) 2,4*5,0",,шт, , , ,"1,000", , , , 
"Палас Фелт (Россия) 2,5х2,5",,шт,"1 057,41","6,000","2,000","12,000","2,000","5,000","3,000","2,000"
"Палас Фелт (Россия) 2,5х2,5 ов.",,шт,"668,75", , , , , ,"1,000", 
"Палас Фелт (Россия) 2,5х3,0",,шт,"1 306,55","2,000","3,000","13,000","3,000","6,000","8,000","6,000"
"Палас Фелт (Россия) 2,5х3,0 ов.",,шт,"802,50", , , , , ,"1,000", 
"Палас Фелт (Россия) 2,5х3,5",,шт,"1 492,77","4,000","4,000","14,000","1,000","6,000","8,000","8,000"
"Палас Фелт (Россия) 2,5х4,0",,шт,"1 681,66","3,000","8,000","9,000","3,000","11,000","12,000","12,000"
"Палас Фелт (Россия) 2,5х4,5",,шт,"1 918,46","3,000","5,000","10,000", ,"11,000","10,000","8,000"
"Палас Фелт (Россия) 2,5х5,0",,шт,"2 092,73","4,000","6,000","7,000","4,000","5,000","7,000","9,000"
"Палас Фелт (Россия) 2,5х5,5",,шт,"2 235,25","4,000","1,000","14,000", ,"2,000", ,"3,000"
"Палас Фелт (Россия) 2,5х6,0",,шт,"2 490,00","2,000","1,000", , ,"2,000","1,000","2,000"
"Палас Фелт (Россия) 3,0х3,0",,шт,"1 505,82","3,000","3,000","5,000","1,000","3,000","5,000", 
"Палас Фелт (Россия) 3,0х3,5",,шт,"1 792,18","4,000","2,000","4,000","2,000", ,"8,000","1,000"
"Палас Фелт (Россия) 3,0х4,0",,шт,"2 014,28","1,000","2,000","13,000","6,000","3,000","14,000","5,000"
"Палас Фелт (Россия) 3,0х4,5",,шт,"2 255,15","3,000","2,000","18,000","2,000","2,000","12,000","4,000"
"Палас Фелт (Россия) 3,0х5,0",,шт,"2 536,79","2,000","3,000","25,000","3,000","2,000","12,000","3,000"
"Палас Фелт (Россия) 3,0х5,5",,шт,"2 755,61","4,000","3,000","6,000", , ,"4,000","2,000"
"Палас Фелт (Россия) 3,0х6,0",,шт,"2 982,17","2,000","2,000","5,000", , ,"4,000","3,000"
Палас Фелт Балттекстиль,,,, , , , , , , 
"Палас Фелт Балттекстиль 1,50*4,00",,шт,"751,02", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 1,50*4,50",,шт,"844,90", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 1,50*5,00",,шт,"1 408,17", ,"2,000", , , , , 
"Палас Фелт Балттекстиль 1,50*5,50",,шт,"1 032,60", ,"1,000", , , , ,"1,000"
"Палас Фелт Балттекстиль 2,00*3,00",,шт,"751,02", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 2,00*4,00",,шт,"1 001,36", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 2,00*4,50",,шт,"1 126,53", ,"2,000", , , , , 
"Палас Фелт Балттекстиль 2,00*5,50",,шт,"1 376,87", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 2,50*4,50",,шт,"1 408,16", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 2,50*5,00",,шт,"1 564,63", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 2,50*5,50",,шт,"2 425,17", ,"1,000", , , , , 
"Палас Фелт Балттекстиль 3,00*4,50",,шт,"1 689,79", ,"1,000", , , , , 
Палас Фелт Рекос,,,, , , , , , , 
"Палас Фелт Рекос 1,50*4,00",,шт,"762,00", , , , , , ,"1,000"
"Палас Фелт Рекос 1,50*4,50",,шт,"857,25", ,"1,000", , , , , 
"Палас Фелт Рекос 1,50*6,00",,шт,"1 143,00", ,"1,000", , , ,"1,000", 
"Палас Фелт Рекос 2,00*3,50",,шт,"889,00", ,"1,000", , , , , 
"Палас Фелт Рекос 2,00*5,50",,шт,"1 397,00", , , , , , ,"1,000"
"Палас Фелт Рекос 2,50*2,50",,шт,"793,75", ,"1,000", , , , , 
"Палас Фелт Рекос 2,50*3,00",,шт,"952,50", ,"1,000", , , , , 
"Палас Фелт Рекос 2,50*3,50",,шт,"1 111,25", ,"2,000", , , , , 
"Палас Фелт Рекос 2,50*4,00",,шт,"1 270,00", ,"1,000", , , , , 
"Палас Фелт Рекос 3,00*4,50",,шт,"1 714,50","1,000", , , , , , 
Постельные принадлежности,,,, , , , , , , 
Наматрацник,,,, , , , , , , 
Наматрацник из стеган. полотна (бамбук) 200*120,,шт,"626,73", , , , , , ,"1,000"
Наматрацник из стеган. полотна (синтепон) 200*140,,шт,"684,48", , , ,"1,000", ,"2,000", 
Наматрацник из стеган. полотна (синтепон) 200*90,,шт,"360,00", , , , , ,"2,000", 
Наматрацник натяжной (водонепрониц.) 200*120,,шт,"1 049,28","1,000", , , , , , 
Наматрацник натяжной (водонепрониц.) 200*160,,шт,"1 303,68", , , , , ,"1,000", 
Одеяло,,,, , , , , , , 
"Одеяло ""Бамбук"" 1,5 сп. полиэстер",,шт,"395,77","3,000", ,"10,000", , , , 
"Одеяло ""Бамбук"" 1,5 сп. сатин",,шт,"1 278,18","1,000","1,000","52,000", ,"2,000","2,000","1,000"
"Одеяло ""Бамбук"" 2,0 сп. полиэстер",,шт,"456,20","5,000", ,"22,000","4,000","3,000", , 
"Одеяло ""Бамбук"" 2,0 сп. сатин",,шт,"1 493,75","2,000", ,"35,000", ,"1,000","2,000","2,000"
"Одеяло ""Ватное"" 2,0 сп.",,шт,"1 046,10", , ,"1,000", ,"2,000","2,000","2,000"
"Одеяло ""Ватное"" дет. 140*110",,шт,"400,43", ,"1,000","12,000", ,"2,000", , 
"Одеяло ""Верблюд"" 1,5 сп. полиэстер",,шт,"433,82","2,000","2,000","17,000","1,000","2,000", ,"1,000"
"Одеяло ""Верблюд"" 2,0 сп. полиэстер",,шт,"498,12","3,000","1,000","10,000","1,000","2,000", ,"1,000"
"Одеяло ""Комфорт"" 1,5 сп. ультрастеп",,шт,"549,17","5,000","5,000","19,000", , ,"3,000","2,000"
"Одеяло ""Комфорт"" 1,5 сп. ультрастеп обл.",,шт,"323,00","2,000", ,"4,000", , ,"2,000","1,000"
"Одеяло ""Комфорт"" 2,0 сп. ультрастеп",,шт,"635,02","4,000","6,000","22,000", ,"1,000","3,000","1,000"
"Одеяло ""Комфорт"" 2,0 сп. ультрастеп обл.",,шт,"378,00", , , ,"3,000", ,"1,000","1,000"
"Одеяло ""Комфорт"" 210/200 сп. ультрастеп обл.",,шт,"435,00", , , ,"4,000", ,"2,000","1,000"
"Одеяло ""Овечка"" 1,5 сп. полиэстер",,шт,"423,90", , ,"3,000", , , ,"1,000"
"Одеяло ""Овечка"" 2,0 сп. полиэстер",,шт,"496,63","1,000", ,"7,000","3,000", , ,"1,000"
"Одеяло ""Руно"" 1,5 сп. цв.мех",,шт,"1 322,75", , ,"1,000", , , , 
"Одеяло ""Руно"" 2,0 сп. цв.мех",,шт,"1 930,00", , , , , , ,"1,000"
"Одеяло ""Файберболл"" 1,5 сп.",,шт,"898,00","1,000", , , ,"1,000", ,"2,000"
"Одеяло ""Файберболл"" 2,0 сп.",,шт,"1 078,83","2,000", , , ,"1,000","2,000","1,000"
"Одеяло ""Файберболл"" 210/200",,шт,"1 451,85","2,000", ,"1,000", , , ,"1,000"
"Одеяло ""Файберболл"" 220/240",,шт,"1 699,67","3,000","1,000","1,000", ,"1,000","1,000","1,000"
"Одеяло ""Холлофайбер"" (п/э степ) дет. 140*110",,шт,"340,97","1,000", ,"2,000", , , , 
"Одеяло ""Холлофайбер"" (ультрастеп) 1,5 сп.",,шт,"568,00", , , , , , ,"1,000"
"Одеяло АТЛАС-СТЕП 2,0 сп.",,шт,"662,00","1,000", , , , , ,"2,000"
"Одеяло верблюжья шерсть 1,5 сп.",,шт,"2 717,67","1,000","2,000","6,000", , ,"1,000","1,000"
"Одеяло верблюжья шерсть 2,0 сп.",,шт,"3 257,63","1,000","2,000","10,000", , ,"1,000","1,000"
"Одеяло кашемир 1,5 сп.",,шт,"1 301,52", ,"1,000","5,000", , ,"1,000", 
"Одеяло кашемир 2,0 сп.",,шт,"1 563,00", , ,"2,000", , ,"1,000","1,000"
"Одеяло облегченное (бамбук) 1,5 сп.",,шт,"855,00","2,000", ,"4,000", , , ,"1,000"
"Одеяло облегченное (бамбук) 2,0 сп.",,шт,"988,28", , ,"3,000","1,000", , ,"2,000"
"Одеяло облегченное (верблюжья шерсть) 1,5 сп.",,шт,"2 030,96","3,000", ,"3,000", ,"1,000","2,000","1,000"
"Одеяло облегченное (верблюжья шерсть) 2,0 сп.",,шт,"845,95","2,000", ,"17,000", ,"1,000","1,000","1,000"
"Одеяло облегченное (шерсть) 1,5 сп.",,шт,"616,58","3,000","7,000", ,"5,000","2,000","3,000","5,000"
"Одеяло облегченное (шерсть) 2,0 сп.",,шт,"724,25","2,000","3,000","17,000","11,000","1,000", ,"5,000"
"Одеяло полупуховое (80%) 1,5 сп.",,шт,"1 245,09", , ,"3,000", ,"1,000","1,000","1,000"
"Одеяло полупуховое (80%) 2,0 сп.",,шт,"1 455,00", , ,"4,000", ,"1,000","1,000", 
"Одеяло пуховое (100%) 1,5 сп.",,шт,"2 035,00", , ,"3,000", , ,"1,000", 
"Одеяло пуховое (100%) 2,0 сп.",,шт,"2 697,70", , ,"5,000", , ,"1,000", 
"Одеяло шерсть 1,5 сп.",,шт,"1 580,55","1,000", ,"14,000", ,"1,000","2,000","1,000"
"Одеяло шерсть 2,0 сп.",,шт,"1 840,91","2,000","1,000","15,000", ,"1,000","3,000","1,000"
Одеяло шерсть дет. 140*110,,шт,"901,66", ,"1,000","4,000", ,"1,000", , 
Подушка,,,, , , , , , , 
Подушка  бамбук (полиэстер) 50*70,,шт,"136,80","5,000", ,"2,000", , ,"2,000", 
Подушка  бамбук (полиэстер) 70*70,,шт,"181,62","8,000","1,000","12,000","1,000","2,000","1,000", 
Подушка  бамбук (сатин)  50*70,,шт,"662,00","2,000", , , ,"1,000", ,"1,000"
Подушка  бамбук (сатин) 70*70,,шт,"832,00", ,"1,000", , ,"2,000", ,"3,000"
"Подушка ""Дачная"" 50*70",,шт,"116,00", , ,"6,000","1,000", , , 
"Подушка ""Дачная"" 70*70",,шт,"161,00", , ,"6,000","2,000", ,"3,000", 
"Подушка ""Комфорт"" (ультрастеп) 50*70",,шт,"138,61","6,000","6,000", ,"2,000", ,"6,000","4,000"
"Подушка ""Комфорт"" (ультрастеп) 70*70",,шт,"185,58","4,000","6,000","22,000","3,000","1,000","11,000","4,000"
"Подушка ""Комфорт"" (файберболл) 50*70",,шт,"213,59","4,000","3,000","5,000","6,000","4,000", ,"5,000"
"Подушка ""Комфорт"" (файберболл) 70*70",,шт,"301,57","5,000","4,000", ,"5,000","3,000", ,"2,000"
Подушка пух (гусь 100% элитн.) 50*70,,шт,"1 321,35","2,000", ,"5,000", ,"2,000","2,000","2,000"
Подушка пух (гусь 100% элитн.) 68*68,,шт,"2 053,45","3,000","2,000","2,000", ,"2,000","1,000","2,000"
"Подушка пух-перо ""Три объема"" (сатин) 50*70",,шт,"933,12","1,000", , , ,"1,000","3,000", 
Подушка пух-перо (гусин.30%) 50*70,,шт,"404,62","6,000", ,"12,000","8,000", ,"6,000","4,000"
Подушка пух-перо (гусин.30%) 68*68,,шт,"495,72","1,000","4,000","7,000","4,000", , ,"1,000"
Подушка пух-перо (гусин.50%) 50*70,,шт,"824,60","5,000","2,000","10,000", ,"3,000","2,000","3,000"
Подушка пух-перо (гусин.50%) 68*68,,шт,"940,10","3,000","1,000","6,000","2,000","2,000", ,"3,000"
Подушка пух-перо 50*70 тик гладкокрашеный,,шт,"242,71","6,000", , , , ,"4,000","6,000"
"Пост. белье (бязь) 1,5 сп. арт. 151 ""Dolce Vita""",,шт,"902,81", ,"4,000", , ,"3,000","1,000","12,000"
"Пост. белье (бязь) 1,5 сп. арт. 181 ""Поплин""",,шт,"768,18", , , , , , ,"1,000"
"Пост. белье (бязь) 2,0 сп. ""Зефир""",,шт,"670,00", , , , , ,"4,000", 
"Пост. белье (бязь) 2,0 сп. арт. 152  ""Dolce Vita""",,шт,"1 070,13","2,000","1,000", ,"2,000", ,"10,000","9,000"
"Пост. белье (бязь) 2,0 сп. арт. 153 евро ""Dolce Vi",,шт,"1 193,41","2,000", , , , ,"1,000","5,000"
Пост. белье (бязь) Детский арт. 051,,шт,"333,87","1,000", , , , , , 
"Пост. белье (бязь) дуэт ""Зефир""",,шт,"990,00","1,000","1,000", , , , , 
"Пост. белье (бязь) евро ""Зефир""",,шт,"760,00","1,000", , , , , , 
"Пост. белье (бязь) Семейный арт.154 ""Dolce Vita""",,шт,"1 371,12","2,000","3,000","2,000", ,"1,000","2,000","8,000"
"Пост. белье (мако-сатин) 1,5 сп. ""Ирис""",,шт,"495,60","6,000","6,000", ,"2,000","8,000", ,"8,000"
"Пост. белье (мако-сатин) 1,5 сп. ""Каравелла""",,шт,"800,00", , , , , , ,"2,000"
"Пост. белье (мако-сатин) 1,5 сп. ""Карнавал""",,шт,"495,00","3,000", , , , ,"3,000","3,000"
"Пост. белье (мако-сатин) 2,0 сп. ""Ирис""",,шт,"590,67","6,000","6,000","10,000","1,000","7,000","8,000","2,000"
"Пост. белье (мако-сатин) 2,0 сп. ""Карнавал""",,шт,"950,00", , , , , , ,"2,000"
"Пост. белье (мако-сатин) дуэт ""Ирис""",,шт,"826,00", , , ,"4,000", , ,"4,000"
"Пост. белье (мако-сатин) дуэт ""Каравелла""",,шт,"710,00","1,000", , , , , ,"1,000"
"Пост. белье (мако-сатин) дуэт ""Карнавал""",,шт,"826,00","7,000", , , ,"3,000", ,"3,000"
"Пост. белье (мако-сатин) евро ""Ирис""",,шт,"685,00","4,000", , ,"2,000","3,000", ,"4,000"
"Пост. белье (мако-сатин) евро ""Карнавал""",,шт,"649,00", , , , , ,"1,000","3,000"
Пост. белье (микросатин 3D) 1.5 сп. арт. 137,,шт,"609,15", , , , , ,"1,000", 
Пост. белье (микросатин) евро арт. 139,,шт,"833,28", , , , , ,"1,000", 
"Пост. белье (перкаль) 1,5 сп. 70/70 ""Далила""",,шт,"916,00","3,000", , , , , , 
