ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
Ковры (Витебск) хит-сет ов.,,,, , , , , , , 
"Ковер (Витебск) хит-сет 1,95*3,40 ов.(5,93)",,шт,"1 779,00","1,000", , , , , , 
Ковры (Витебск) циновка,,,, , , , , , , 
"Ковер (Витебск) циновка 0,80*1,50 ов.",,шт,"392,04", , , , ,"2,000", , 
"Ковер (Витебск) циновка 1,20*1,70 ов.",,шт,"912,35","1,000", , ,"1,000", , , 
"Ковер (Витебск) циновка 1,40*2,00 ов.",,шт,"1 001,28", , , , ,"1,000", , 
"Ковер (Витебск) циновка 1,60*2,20 ов.",,шт,"1 076,76","1,000", , , , , ,"1,000"
"Ковер (Витебск) циновка 1,60*2,30 ов.",,шт,"1 125,71", , , , ,"1,000", ,"1,000"
"Ковер (Витебск) циновка 1,70*2,40",,шт,"1 373,32", , , , ,"1,000", , 
"Ковер (Витебск) циновка 1,70*2,40 ов.",,шт,"1 015,92", , , , ,"1,000", , 
"Ковер (Витебск) циновка 2,00*2,90",,шт,"1 876,30", , , , , , ,"1,000"
"Ковер (Витебск) циновка 2,00*2,90 ов.",,шт,"1 825,26","1,000", , , ,"2,000","1,000", 
"Ковер (Витебск) циновка 2,00*3,00 ов.",,шт,"2 220,00", , , , , ,"1,000","1,000"
Ковры (Витебск) шаги,,,, , , , , , , 
"Ковер (Витебск) шаги 0,60*1,00",,шт,"268,50","1,000", , , , , , 
"Ковер (Витебск) шаги 0,60*1,00 ов.",,шт,"700,00", , , , ,"1,000", , 
"Ковер (Витебск) шаги 0,80*1,50",,шт,"1 200,00", , , , ,"1,000", , 
"Ковер (Витебск) шаги 1,00*2,00 ов.",,шт,"895,00", , , , , , ,"1,000"
"Ковер (Витебск) шаги 1,00*3,00 ов.",,шт,"1 342,50", , , , , , ,"1,000"
"Ковер (Витебск) шаги 1,50*3,00",,шт,"2 013,75", , , ,"1,000","1,000", , 
"Ковер (Витебск) шаги 1,50*4,00",,шт,"2 685,00", , , , ,"1,000","1,000", 
"Ковер (Витебск) шаги 1,60*2,30",,шт,"1 646,80", , , ,"1,000","1,000", , 
"Ковер (Витебск) шаги 2,00*3,00",,шт,"2 667,40", , , ,"1,000","1,000", , 
"Ковер (Витебск) шаги 2,00*3,00 ов.",,шт,"2 658,60", , , ,"1,000", ,"1,000", 
"Ковер (Витебск) шаги 2,00*4,00",,шт,"3 459,39","2,000","1,000","1,000","1,000", , ,"2,000"
"Ковер (Витебск) шаги 2,00*4,00 ов.",,шт,"3 580,00", , , ,"1,000","1,000", ,"1,000"
"Ковер (Витебск) шаги 2,50*3,50",,шт,"3 915,63", ,"1,000", , , , , 
"Ковер (Витебск) шаги 2,50*3,50 ов.",,шт,"3 915,63", , , , ,"1,000", , 
"Ковер (Витебск) шаги 2,50*4,00 ов.",,шт,"4 475,00", , , , , , ,"1,000"
Ковры Витебск (BCF),,,, , , , , , , 
"Ковер Витебск (BCF) 2,00*3,95 ов.",,шт,"1 339,05", , , , ,"1,000", , 
"Ковер Витебск (BCF) 2,00*5,00",,шт,"1 790,00", , , , , , ,"1,000"
"Ковер Витебск (BCF) 2,20*4,45 ов.",,шт,"1 674,09", , , , ,"1,000", , 
"Ковер (Витебск) 1,55*2,30",,шт,"998,20", , ,"1,000", , , , 
Ковры (Да Винчи) хитсэт,,,, , , , , , , 
Ковры (Да Винчи) пейзаж,,,, , , , , , , 
"Ковер (Да Винчи) пейзаж 2,00*1,40",,шт,"1 162,00", , , , ,"1,000", , 
"Ковер (Да Винчи) пейзаж 2,00*3,00",,шт,"3 312,00","1,000", , ,"1,000","2,000","1,000", 
Ковры (Да Винчи) хитсэт,,,, , , , , , , 
"Ковер (Да Винчи) хитсэт 0,80*1,50 ов.",,шт,"630,00","1,000", , , , , , 
"Ковер (Да Винчи) хитсэт 1,00*4,00",,шт,"2 100,00", , , , , ,"1,000", 
"Ковер (Да Винчи) хитсэт 1,00*4,00 ов.",,шт,"2 100,00", , , , , ,"1,000", 
"Ковер (Да Винчи) хитсэт 1,50*1,50 круг",,шт,"2 500,00","1,000", , , , , , 
"Ковер (Да Винчи) хитсэт 1,50*2,30 ов.",,шт,"1 811,25", , , , , ,"1,000", 
"Ковер (Да Винчи) хитсэт 1,50*5,00",,шт,"3 937,50","1,000", , , , , , 
"Ковер (Да Винчи) хитсэт 1,50*5,00 ов.",,шт,"3 937,50", ,"1,000", , , ,"1,000", 
"Ковер (Да Винчи) хитсэт 2,00*5,00",,шт,"4 150,00", , , , ,"1,000", , 
Ковры (Домо),,,, , , , , , , 
"Ковер (Домо) 0,80*1,50",,шт,"503,84", ,"2,000","4,000", , ,"3,000", 
"Ковер (Домо) 0,80*1,50 ов.",,шт,"502,59","2,000","1,000","4,000", , ,"2,000", 
"Ковер (Домо) 0,80*4,50",,шт,"1 488,96", , , , ,"1,000", , 
"Ковер (Домо) 1,00*1,00",,шт,"437,10", ,"3,000", , , , , 
"Ковер (Домо) 1,00*2,00",,шт,"998,60","1,000","1,000","1,000","2,000","1,000", , 
"Ковер (Домо) 1,00*2,00 ов.",,шт,"982,34","1,000","2,000", , , , , 
"Ковер (Домо) 1,20*2,00",,шт,"1 049,04", , , , , , ,"1,000"
"Ковер (Домо) 1,20*2,00 ов.",,шт,"1 049,04", , , , , , ,"1,000"
"Ковер (Домо) 1,20*2,50",,шт,"1 311,30", , , , , , ,"1,000"
"Ковер (Домо) 1,20*3,00 ов.",,шт,"1 488,96", , , , ,"1,000", , 
"Ковер (Домо) 1,20*3,50",,шт,"1 835,82", , , , , , ,"1,000"
"Ковер (Домо) 1,20*4,00",,шт,"2 098,08", , , , , , ,"1,000"
"Ковер (Домо) 1,50*2,30",,шт,"1 937,66", , ,"1,000", ,"2,000","1,000", 
"Ковер (Домо) 1,50*2,30 ов.",,шт,"1 758,99","1,000","1,000","1,000","1,000","1,000", ,"2,000"
"Ковер (Домо) 1,50*3,00",,шт,"1 882,35", ,"1,000","1,000","1,000", , , 
"Ковер (Домо) 1,50*3,00 ов.",,шт,"1 966,95", ,"1,000", , , , , 
"Ковер (Домо) 1,50*4,00",,шт,"2 793,00", , , , , ,"1,000", 
"Ковер (Домо) 2,00*3,00",,шт,"2 642,79", ,"1,000","1,000", ,"1,000", , 
"Ковер (Домо) 2,00*3,00 ов.",,шт,"2 562,44", ,"2,000","2,000", , , , 
"Ковер (Домо) 2,00*4,00",,шт,"3 371,25","1,000", ,"3,000", , , , 
"Ковер (Домо) 2,00*4,00 ов.",,шт,"3 412,20", , ,"1,000", ,"2,000", , 
"Ковер (Домо) 2,00*5,00 ов.",,шт,"4 230,00", , ,"1,000", , , , 
"Ковер (Домо) 2,50*3,00 ов.",,шт,"3 102,00", ,"1,000", , , , , 
"Ковер (Домо) 2,50*3,50 ов.",,шт,"3 824,63", ,"1,000", , , , , 
"Ковер (Домо) 2,80*3,80",,шт,"4 245,36", ,"1,000", , , , , 
Ковры (Емма),,,, , , , , , , 
"Ковер (Емма) 1,50*2,30",,шт,"3 567,30", ,"1,000", , , , , 
"Ковер (Емма) 2,00*2,90",,шт,"6 380,00", , , , , , ,"1,000"
Ковры (Измир),,,, , , , , , , 
"Ковер (Измир) 1,50*5,00",,шт,"4 687,50", , , , , ,"1,000", 
"Ковер (Измир) 2,00*3,00 ов.",,шт,"3 750,00", , , , ,"1,000","1,000", 
Ковры (Караван) BCF,,,, , , , , , , 
"Ковер (Караван) BCF 0,60*1,00",,шт,"198,65", , , , , ,"2,000", 
"Ковер (Караван) BCF 0,80*1,50 ов.",,шт,"504,38","4,000", , , , , , 
"Ковер (Караван) BCF 1,50*4,00",,шт,"2 029,20", , , , , , ,"1,000"
"Ковер (Караван) BCF 1,80*2,60 ов.",,шт,"1 582,77", , , , , ,"1,000", 
"Ковер (Караван) BCF 2,00*3,00",,шт,"2 029,20","1,000", , , , , , 
